section,division,group,class,subclass,text_of,text
A,03,032,0322,,class,Freshwater aquaculture
A,03,032,0322,03221,subclass,Fish farming in freshwater including farming of freshwater ornamental fish
A,03,032,0322,03222,subclass,"Culture of freshwater crustaceans, bivalves, other mollusks and other aquatic animals"
A,03,032,0322,03223,subclass,Operation of fish hatcheries (fresh-water)
A,03,032,0322,03229,subclass,"Other freshwater aquaculture ctivities, n.e.c."
B,,,,,section,MINING AND QUARRYING
B,05,,,,division,Mining of coal and lignite
B,05,051,,,group,Mining of hard coal
B,05,051,0510,,class,Mining of hard coal
B,05,051,0510,05101,subclass,Opencast mining of hard coal
B,05,051,0510,05102,subclass,Belowground mining of hard coal
B,05,051,0510,05103,subclass,"Cleaning, sizing, grading, pulverizing, compressing etc. of coal"
B,05,051,0510,05109,subclass,Other operations relating to mining and agglomeration of hard coal
B,05,052,,,group,Mining of lignite
B,05,052,0520,,class,Mining of lignite
B,05,052,0520,05201,subclass,Opencast mining of lignite (brown coal)
B,05,052,0520,05202,subclass,Belowground mining of lignite (brown coal)
B,05,052,0520,05203,subclass,"Washing, dehydrating, pulverizing, compressing of lignite"
B,05,052,0520,05209,subclass,Other operations relating to mining and agglomeration of lignite
B,06,,,,division,Extraction of crude petroleum and natural gas
B,06,061,,,group,Extraction of crude petroleum
B,06,061,0610,,class,Extraction of crude petroleum
B,06,061,0610,06101,subclass,Off shore extraction of crude petroleum
B,06,061,0610,06102,subclass,On shore extraction of crude petroleum
B,06,062,,,group,Extraction of natural gas
B,06,062,0620,,class,Extraction of natural gas
B,06,062,0620,06201,subclass,Offshore Extraction of natural gas
B,06,062,0620,06202,subclass,On shore Extraction of natural gas
B,07,,,,division,Mining of metal ores
B,07,071,,,group,Mining of iron ores
B,07,071,0710,,class,Mining of iron ores
B,07,071,0710,07100,subclass,Mining of iron ores
B,07,072,,,group,Mining of non-ferrous metal ores
B,07,072,0721,,class,Mining of uranium and thorium ores
B,07,072,0721,07210,subclass,Mining of uranium and thorium ores
B,07,072,0729,,class,Mining of other non-ferrous metal ores
B,07,072,0729,07291,subclass,Mining of copper ore
B,07,072,0729,07292,subclass,Mining of aluminium ore (bauxite)
B,07,072,0729,07293,subclass,Mining of manganese ore
B,07,072,0729,07294,subclass,Mining of chromium ore
B,07,072,0729,07295,subclass,"Mining of precious metal ore (gold, silver)"
B,07,072,0729,07296,subclass,Mining of lead and znic ore
B,07,072,0729,07299,subclass,"Mining of other non-ferrous metal ores, n.e.c. [titanium (ilmenite and rutile),niobium, tantalum, vanadium or zirconium ores; tin bearing ores and, nickel, cobalt, tungsten, molybdenum, antimony and other non-ferrous metal ores]"
B,08,,,,division,Other Mining and quarrying
B,08,081,,,group,"Quarrying of stone, sand and clay"
B,08,081,0810,,class,"Quarrying of stone, sand and clay"
B,08,081,0810,08101,subclass,Quarrying of marble
B,08,081,0810,08102,subclass,Quarrying of granite
B,08,081,0810,08103,subclass,Quarrying of slate and building and monumental stone other than marble and granite
B,08,081,0810,08104,subclass,Mining of dolomite
B,08,081,0810,08105,subclass,Mining of gypsum including selenite
B,08,081,0810,08106,subclass,"Operation of sand or gravel pits, basalt/porphyry, clay (ordinary), crushing and breaking of stone for use as a flux or raw material in lime or cement, manufacture or as building material, road metal or ballast and other materials for construction"
B,08,081,0810,08107,subclass,"Mining/quarrying of limestone, limeshell, ‘kankar’ and other calcareous minerals including calcite, chalk and shale"
B,08,081,0810,08108,subclass,"Mining of clays (kaolin, ball clay, wollastonite, bentonite, fuller’s earth, fire clay etc.)"
B,08,081,0810,08109,subclass,"Mining of refractory non-clay minerals (andalusite, kyanite, sillimanite, dunite, diaspore magnesite, diaspore, magnesite)"
B,08,089,,,group,Mining and quarrying n.e.c.
B,08,089,0891,,class,Mining of chemical and fertilizer minerals
B,08,089,0891,08911,subclass,Mining of native sulphur or pyrites and pyrrhotites valued chiefly for sulphur
B,08,089,0891,08912,subclass,Mining of natural phosphates including apatite minerals
B,08,089,0891,08913,subclass,Mining of earth colours (ochre including red oxide).
B,08,089,0891,08914,subclass,Mining of fluorspar
B,08,089,0891,08915,subclass,Mining of barytes
B,08,089,0891,08919,subclass,Mining of potash bearing salts/minerals; borate minerals and other fertiliser and chemical minerals n.e.c.
B,08,089,0892,,class,Extraction and agglomeration of peat
B,08,089,0892,08920,subclass,Extraction and agglomeration of peat
B,08,089,0893,,class,Extraction of salt
B,08,089,0893,08931,subclass,"Salt mining, quarrying, screening etc."
B,08,089,0893,08932,subclass,Salt production by evaporation of sea water or other saline waters
B,08,089,0899,,class,Other mining and quarrying n.e.c.
B,08,089,0899,08991,subclass,"Mining of gemstones (agate, diamond, emerald, garnet (gem), jasper, rubby/saphire etc."
B,08,089,0899,08992,subclass,"Mining and quarrying of abrasive materials (pumice stone, emery, corundum, garnet and other natural abrasives)"
B,08,089,0899,08993,subclass,Mining of mica
B,08,089,0899,08994,subclass,Mining of natural graphite
B,08,089,0899,08995,subclass,Mining of asbestos
B,08,089,0899,08996,subclass,"Mining of vermiculite, perlite and chlorites"
B,08,089,0899,08997,subclass,"Mining of felspar and silica minerals including quartz, quartzite and fuch. Quartzite"
B,08,089,0899,08998,subclass,Mining of talc/steatite
B,08,089,0899,08999,subclass,"Mining of laterite, diatomite and silicious fossil meals (e.g. diatomite) and other natural fluxes, natural asphalt or bitumen and other mining n.e.c."
B,09,,,,division,Mining support service activities
B,09,091,,,group,Support activities for petroleum and natural gas mining
B,09,091,0910,,class,Support activities for petroleum and natural gas mining
B,09,091,0910,09101,subclass,Services incidental to off shore oil extraction
B,09,091,0910,09102,subclass,Services incidental to on shore oil extraction
B,09,091,0910,09103,subclass,Services incidental to off shore gas extraction
B,09,091,0910,09104,subclass,Services incidental to on shore gas extraction
B,09,099,,,group,Support activities for other mining and quarrying
B,09,099,0990,,class,Support activities for other mining and quarrying
B,09,099,0990,09900,subclass,Support activities for other mining and quarrying
C,,,,,section,MANUFACTURING
C,10,,,,division,Manufacture of food products
C,10,101,,,group,Processing and preserving of meat
C,10,101,1010,,class,Processing and preserving of meat
C,10,101,1010,10101,subclass,"Mutton-slaughtering, preparation"
C,10,101,1010,10102,subclass,"Beef-slaughtering, preparation"
C,10,101,1010,10103,subclass,"Pork-slaughtering, preparation"
C,10,101,1010,10104,subclass,"Poultry and other slaughtering, preparation"
C,10,101,1010,10105,subclass,"Preservation, Processing and canning of meat"
C,10,101,1010,10106,subclass,Production of hides and skins originating from slaughterhouses
C,10,101,1010,10107,subclass,Rendering of lard and other edible fats of animal origin; 10108;Production and processing of animal offal
C,10,101,1010,10109,subclass,"Production, processing and preserving of other meat and meat products n.e.c."
C,10,102,,,group,"Processing and preserving of fish, crustaceans and molluscs and products thereof"
C,10,102,1020,,class,"Processing and preserving of fish, crustaceans and molluscs and products thereof"
C,10,102,1020,10201,subclass,Sun-drying of fish
C,10,102,1020,10202,subclass,Artificial dehydration of fish and sea food
C,10,102,1020,10203,subclass,Radiation preservation of fish and similar food
C,10,102,1020,10204,subclass,Processing and preserving of fish crustacean and similar foods
C,10,102,1020,10205,subclass,Processing and canning of fish
C,10,102,1020,10206,subclass,Processing and canning of frog legs
C,10,102,1020,10207,subclass,Production of fishmeal for human consumption or animal feed
C,10,102,1020,10209,subclass,"Production, processing and preservation of other fish products n.e.c."
C,10,103,,,group,Processing and preserving of fruit and vegetables
C,10,103,1030,,class,Processing and preserving of fruit and vegetables
C,10,103,1030,10301,subclass,Sun-drying of fruit and vegetables
C,10,103,1030,10302,subclass,Artificial dehydration of fruit and vegetables
